OBJECTID,NAME,OWNER,NOTES,CITY,FEATTYPE,STATUS,SOURCE,SOURCE_YEAR,ShapeSTArea,ShapeSTLength
2544,Chamberlin Park,,Neighborhood,Fort Worth,Local Park,Existing,City of Fort Worth,2019,460904.8203125,4772.77816901862
2545,Chisholm Trail Park,,Community Park,Fort Worth,Local Park,Existing,City of Fort Worth,2019,3560773.28125,8227.58780644336
2546,Circle Park,,Neighborhood,Fort Worth,Local Park,Existing,City of Fort Worth,2019,557078.712890625,15390.9897785547
2547,City View Park,,Conservancy,Fort Worth,Local Park,Existing,City of Fort Worth,2019,1350875.88378906,7285.77541417093
2548,Cobb Park,,Community Park,Fort Worth,Local Park,Existing,City of Fort Worth,2019,10236111.9667969,36171.5555576749
2549,Crawford,,Urban Park,Fort Worth,Local Park,Existing,City of Fort Worth,2019,13280.751953125,871.909316987852
2550,Creekwood Park,,Neighborhood,Fort Worth,Local Park,Existing,City of Fort Worth,2019,1335777.046875,12007.7649298441
2551,Dabney Park,,Pocket Park,Fort Worth,Local Park,Existing,City of Fort Worth,2019,155816.522460938,1951.06399431125
2552,Eastgate Park,,Neighborhood,Fort Worth,Local Park,Existing,City of Fort Worth,2019,41778.8046875,830.896211889745
2553,Edgewood,,Neighborhood,Fort Worth,Local Park,Existing,City of Fort Worth,2019,89019.9921875,1239.59603040976
2554,Ellis Park,,Neighborhood,Fort Worth,Local Park,Existing,City of Fort Worth,2019,563269.662109375,3615.2711925672
2555,Fairfax Park,,Pocket Park,Fort Worth,Local Park,Existing,City of Fort Worth,2019,209734.942382812,1944.52852736403
2556,Fire Station Community Center Park,,Community Park,Fort Worth,Local Park,Existing,City of Fort Worth,2019,140388.265625,1693.73011547316
2557,Forest Park,,Community Park,Fort Worth,Local Park,Existing,City of Fort Worth,2019,4213583.046875,31068.8181413382
2558,Greer Island,,Conservancy,Fort Worth,Local Park,Existing,City of Fort Worth,2019,1830254.15820312,6193.47084009034
2559,Friendship Park,,Neighborhood,Fort Worth,Local Park,Existing,City of Fort Worth,2019,245822.793945312,2038.08143532278
2560,Harvest Ridge Park,,Neighborhood,Fort Worth,Local Park,Existing,City of Fort Worth,2019,285062.622070312,2375.00733120191
2561,Hyde Park,,Urban Park,Fort Worth,Local Park,Existing,City of Fort Worth,2019,7027.96875,427.888827388298
2562,Kingsridge West,,Neighborhood,Fort Worth,Local Park,Existing,City of Fort Worth,2019,1244211.86230469,4725.5132130157
2563,Lake Como Park,,Community Park,Fort Worth,Local Park,Existing,City of Fort Worth,2019,2541946.59960938,11646.2810717739
2564,Marine Creek Ranch Park,,Community Park,Fort Worth,Local Park,Existing,City of Fort Worth,2019,1669817.875,6848.91986114906
2565,McPherson Park,,Neighborhood,Fort Worth,Local Park,Existing,City of Fort Worth,2019,608609.220703125,3540.78890809545
2566,Mosier Valley,,Pocket Park,Fort Worth,Local Park,Existing,City of Fort Worth,2019,213228.102539062,2073.11371358658
2567,Mosque Point,,Community Park,Fort Worth,Local Park,Existing,City of Fort Worth/PADUSA,2019,7255160.41894531,19330.7444585971
2568,Oak Grove,,Community Park,Fort Worth,Local Park,Existing,City of Fort Worth,2019,2683793.73730469,9542.98847908785
2569,Ponderosa,,Neighborhood,Fort Worth,Local Park,Existing,City of Fort Worth,2019,663485.618164062,6255.64519247284
2570,Ranches East Park,,Neighborhood,Fort Worth,Local Park,Existing,City of Fort Worth,2019,806718.365234375,4865.18444522791
2571,Rosenthal Park,,Pocket Park,Fort Worth,Local Park,Existing,City of Fort Worth,2019,129285.33984375,1769.2941374369
2572,Sendera Ranch,,Neighborhood,Fort Worth,Local Park,Existing,City of Fort Worth,2019,1482431.2890625,10683.2459556754
2573,Stratford Park,,Neighborhood,Fort Worth,Local Park,Existing,City of Fort Worth,2019,1466258.31054688,13674.0408101011
2574,Stratford Nature Area,,Conservancy,Fort Worth,Local Park,Existing,City of Fort Worth,2019,475094.3515625,3390.28737402583
2575,Tandy Hills,,Neighborhood,Fort Worth,Local Park,Existing,City of Fort Worth,2019,655937.147460938,4081.76555313768
2576,Sylvania Park,,Community Park,Fort Worth,Local Park,Existing,City of Fort Worth,2019,1191539.31054688,4467.01867450067
